[0.041s] Invoking command in '/home/brilliant/ros2_ws/build/diffdrive_arduino': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/brilliant/ros2_ws/src/install/twist_stamper:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake /home/brilliant/ros2_ws/src/diffdrive_arduino -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/brilliant/ros2_ws/install/diffdrive_arduino
[0.075s] -- Found ament_cmake: 2.5.4 (/opt/ros/jazzy/share/ament_cmake/cmake)
[0.649s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.675s] -- Found hardware_interface: 4.32.0 (/opt/ros/jazzy/share/hardware_interface/cmake)
[0.752s] -- Found rosidl_generator_c: 4.6.5 (/opt/ros/jazzy/share/rosidl_generator_c/cmake)
[0.778s] -- Found rosidl_generator_cpp: 4.6.5 (/opt/ros/jazzy/share/rosidl_generator_cpp/cmake)
[0.815s] -- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c
[0.856s] -- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp
[1.457s] -- Found TinyXML2 via Config file: /usr/lib/x86_64-linux-gnu/cmake/tinyxml2
[1.549s] -- Found rmw_implementation_cmake: 7.3.2 (/opt/ros/jazzy/share/rmw_implementation_cmake/cmake)
[1.555s] -- Found rmw_fastrtps_cpp: 8.4.2 (/opt/ros/jazzy/share/rmw_fastrtps_cpp/cmake)
[1.596s] -- Found TinyXML2 via Config file: /usr/lib/x86_64-linux-gnu/cmake/tinyxml2
[1.619s] -- Found TinyXML2 via Config file: /usr/lib/x86_64-linux-gnu/cmake/tinyxml2
[1.664s] -- Found TinyXML2 via Config file: /usr/lib/x86_64-linux-gnu/cmake/tinyxml2
[1.695s] -- Found TinyXML2 via Config file: /usr/lib/x86_64-linux-gnu/cmake/tinyxml2
[1.722s] -- Using RMW implementation 'rmw_fastrtps_cpp' as default
[2.177s] -- Found ament_cmake_gtest: 2.5.4 (/opt/ros/jazzy/share/ament_cmake_gtest/cmake)
[2.622s] -- Configuring done (2.6s)
[2.769s] -- Generating done (0.1s)
[2.796s] -- Build files have been written to: /home/brilliant/ros2_ws/build/diffdrive_arduino
[2.844s] Invoked command in '/home/brilliant/ros2_ws/build/diffdrive_arduino' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/brilliant/ros2_ws/src/install/twist_stamper:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake /home/brilliant/ros2_ws/src/diffdrive_arduino -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/brilliant/ros2_ws/install/diffdrive_arduino
[2.845s] Invoking command in '/home/brilliant/ros2_ws/build/diffdrive_arduino': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/brilliant/ros2_ws/src/install/twist_stamper:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/brilliant/ros2_ws/build/diffdrive_arduino -- -j4 -l4
[3.129s] [100%] Built target diffdrive_arduino
[3.169s] Invoked command in '/home/brilliant/ros2_ws/build/diffdrive_arduino' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/brilliant/ros2_ws/src/install/twist_stamper:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/brilliant/ros2_ws/build/diffdrive_arduino -- -j4 -l4
[3.171s] Invoking command in '/home/brilliant/ros2_ws/build/diffdrive_arduino': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/brilliant/ros2_ws/src/install/twist_stamper:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/brilliant/ros2_ws/build/diffdrive_arduino
[3.189s] -- Install configuration: ""
[3.190s] -- Execute custom install script
[3.191s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino//diffdrive_arduino.xml
[3.211s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/include/diffdrive_arduino/diffdrive_arduino/arduino_comms.hpp
[3.232s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/include/diffdrive_arduino/diffdrive_arduino/diffbot_system.hpp
[3.256s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/include/diffdrive_arduino/diffdrive_arduino/visibility_control.h
[3.275s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/include/diffdrive_arduino/diffdrive_arduino/wheel.hpp
[3.299s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/launch/view_robot.launch.py
[3.319s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/ros2_control/diffbot.ros2_control.xacro
[3.343s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/urdf/diffbot.materials.xacro
[3.379s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/urdf/diffbot.urdf.xacro
[3.416s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/urdf/diffbot_description.urdf.xacro
[3.456s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/rviz/diffbot.rviz
[3.498s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/rviz/diffbot_view.rviz
[3.521s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/launch/diffbot.launch.py
[3.546s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/config/diffbot_controllers.yaml
[3.585s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/environment/library_path.sh
[3.610s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/environment/library_path.dsv
[3.635s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/ament_index/resource_index/package_run_dependencies/diffdrive_arduino
[3.660s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/ament_index/resource_index/parent_prefix_path/diffdrive_arduino
[3.685s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/environment/ament_prefix_path.sh
[3.712s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/environment/ament_prefix_path.dsv
[3.730s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/environment/path.sh
[3.757s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/environment/path.dsv
[3.781s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/local_setup.bash
[3.805s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/local_setup.sh
[3.827s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/local_setup.zsh
[3.851s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/local_setup.dsv
[3.874s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/package.dsv
[3.897s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/ament_index/resource_index/packages/diffdrive_arduino
[3.918s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/ament_index/resource_index/hardware_interface__pluginlib__plugin/diffdrive_arduino
[3.948s] -- Symlinking: /home/brilliant/ros2_ws/install/diffdrive_arduino/share/diffdrive_arduino/cmake/ament_cmake_export_targets-extras.cmake
